Global Warming	Climate_change
Climate_change	Climate_system
Climate_system	Complex_system
Complex_system	System
System	Environment_(systems)
Environment_(systems)	Science
Science	Scientific_method
Scientific_method	Empirical_evidence
Empirical_evidence	Proposition
Proposition	Philosophy_of_language
Philosophy_of_language	Analytic_philosophy
Analytic_philosophy	Philosophy
Philosophy	Existence
Existence	Reality
Reality	Universe
Universe	Space
Space	Three-dimensional_space
Three-dimensional_space	Geometry
Geometry	Mathematics
Mathematics	Knowledge
Knowledge	Declarative_knowledge
Declarative_knowledge	Awareness
Awareness	Philosophy
Taj Mahal	Marble
Marble	Metamorphic_rock
Metamorphic_rock	Rock_(geology)
Rock_(geology)	Geology
Geology	Natural_science
Natural_science	Branches_of_science
Branches_of_science	Science
History of Pizza	History_of_pizza
History_of_pizza	Ancient_history
Ancient_history	Time_period
Time_period	List_of_time_periods
List_of_time_periods	Periodization
Periodization	Historiography
Historiography	Historian
Historian	Past
Past	Spacetime#Definitions
Spacetime#Definitions	Physics
Physics	Natural_science
Digital Photography	Digital_photography
Digital_photography	Cameras
Cameras	Camera
Camera	Image_sensor
Image_sensor	Sensor
Sensor	Micromachinery
Micromachinery	Mechanics
Mechanics	Mathematics
Artificial Photosynthesis	Artificial_photosynthesis
Artificial_photosynthesis	Chemical_process
Chemical_process	Process_(science)
Process_(science)	Scientific_method
Moby Dick	Moby-Dick
Moby-Dick	Herman_Melville
Herman_Melville	Novelist
Novelist	Author
Author	Sculptor
Sculptor	Sculpture
Sculpture	Visual_arts
Visual_arts	Art_form
Art_form	The_arts
The_arts	Creativity
Creativity	Psychology
Psychology	Mind
Mind	Thought
Thought	Consciousness
Consciousness	Awareness
Impressionism	Art_movement
Art_movement	Art
Art	Human_behavior
Human_behavior	Human
Human	Species
Species	Organism
Organism	Life
Life	Matter
Matter	Classical_physics
Classical_physics	Physics
The Silk Road	Silk_Road
Silk_Road	Eurasia
Eurasia	Europe
Europe	Continent
Continent	Geography
Geography	Earth
Earth	Planet
Planet	Hydrostatic_equilibrium
Hydrostatic_equilibrium	Fluid_mechanics
Fluid_mechanics	Physics
Electric Car	Electric_car
Electric_car	Passenger_car
Passenger_car	Car
Car	Motor_vehicle
Motor_vehicle	Vehicle
Vehicle	Machine
Machine	Power_(physics)
Power_(physics)	Physics
Theory of Relativity	Theory_of_relativity
Theory_of_relativity	Physics
Plate Tectonics	Plate_tectonics
Plate_tectonics	Scientific_theory
Scientific_theory	Natural_science
Shakespeare	William_Shakespeare
William_Shakespeare	National_poet
National_poet	Poet
Poet	Poetry
Poetry	Literature
Literature	Writing
Writing	Language
Language	Communication
Communication	Information
Information	Abstraction
Abstraction	Rule_of_inference
Rule_of_inference	Philosophy_of_logic
Philosophy_of_logic	Philosophy
Mayan Civilization	Maya_civilization
Maya_civilization	Mesoamerica
Mesoamerica	Historical_region
Historical_region	Region
Region	Geography
Podcasting	Podcast
Podcast	Radio_program
Radio_program	Radio
Radio	Telecommunication
Telecommunication	Telecommunications
Telecommunications	Postal_mail
Postal_mail	Mail
Mail	Postcard
Postcard	Paper
Paper	Material
Material	Matter
Black Holes	Black_hole
Black_hole	Spacetime
Spacetime	Physics
Cyber Security	Computer_security
Computer_security	Computer_system
Computer_system	Computer
Computer	Machine
Ancient Olympics	Ancient_Olympic_Games
Ancient_Olympic_Games	Athletics_(sport)
Athletics_(sport)	Sport_of_athletics
Sport_of_athletics	Sport
Sport	Physical_activity
Physical_activity	Skeletal_muscle
Skeletal_muscle	Organ_(biology)
Organ_(biology)	Organism
Coral Reefs	Peer-review
Peer-review	Peer_review
Peer_review	Field_of_study
Field_of_study	Academic_discipline
Academic_discipline	Knowledge
French Revolution	France
France	Western_Europe
Western_Europe	Europe
Human Genome Project	Scientific_research
Scientific_research	Scientific_method
Mars Rover	Mars_rover
Mars_rover	Motor_vehicle
Quantum Computing	Quantum_computing
Quantum_computing	Computer
Chernobyl Disaster	Chernobyl_disaster
Chernobyl_disaster	Nuclear_reactor
Nuclear_reactor	Nuclear_chain_reaction
Nuclear_chain_reaction	Nuclear_physics
Nuclear_physics	Physics
Great Wall of China	Fortifications
Fortifications	Fortification
Fortification	Military
Military	Weapon
Weapon	Death
Death	Irreversible_process
Irreversible_process	Thermodynamic_processes
Thermodynamic_processes	Thermodynamic_process
Thermodynamic_process	Classical_thermodynamics
Classical_thermodynamics	Thermodynamics#Classical_thermodynamics
Thermodynamics#Classical_thermodynamics	Physics
Artificial Intelligence	Artificial_intelligence
Artificial_intelligence	Intelligence
Intelligence	Abstraction
Cryptocurrency	Digital_currency
Digital_currency	Currency
Currency	Money
Money	Payment
Payment	Value_(economics)
Value_(economics)	Economics
Economics	Social_science
Social_science	Branches_of_science
The Beatles	Rock_music
Rock_music	Popular_music
Popular_music	Music
Music	Sound
Sound	Physics
Einstein	Albert_Einstein
Albert_Einstein	Theoretical_physicist
Theoretical_physicist	Theoretical_physics
Theoretical_physics	Physics
Biodiversity	Life
Sustainable Energy	Sustainable_energy
Sustainable_energy	Energy_system
Energy_system	System
Venice	Italy
Italy	Mediterranean_Sea
Mediterranean_Sea	Sea
Sea	Body_of_water
Body_of_water	Water
Water	Inorganic_compound
Inorganic_compound	Chemistry
Chemistry	Science
Leonardo da Vinci	Polymath
Polymath	Renaissance_humanism
Renaissance_humanism	Worldview
Worldview	Cognitive
Cognitive	Cognition
Cognition	Knowledge
3D Printing	3D_printing
3D_printing	Manufacturing
Manufacturing	Production_(economics)
Production_(economics)	Material
Machu Picchu	Inca_Empire
Inca_Empire	Pre-Columbian_America
Pre-Columbian_America	Pre-Columbian_era
Pre-Columbian_era	History_of_the_Americas
History_of_the_Americas	Ice_age
Ice_age	Earth
Microbiome	Community_of_microorganisms
Community_of_microorganisms	Microbial_consortium
Microbial_consortium	Bacterial
Bacterial	Bacteria
Bacteria	Cell_(biology)
Cell_(biology)	Life
Nanotechnology	National_Nanotechnology_Initiative
National_Nanotechnology_Initiative	Research_and_development
Research_and_development	Research
Research	Creativity
Vikings	Scandinavia
Scandinavia	Subregion#Europe
Subregion#Europe	Region
Sphinx of Giza	Great_Sphinx_of_Giza
Great_Sphinx_of_Giza	Limestone
Limestone	Carbonate_rock
Carbonate_rock	Sedimentary_rock
Sedimentary_rock	Rock_(geology)
Wind Power	Wind_power
Wind_power	Wind
Wind	Atmosphere_of_Earth
Atmosphere_of_Earth	Gas
Gas	State_of_matter
State_of_matter	Physics
Machine Learning	Machine_learning
Machine_learning	Field_of_study
Pablo Picasso	Printmaker
Printmaker	Printmaking
Printmaking	Work_of_art
Work_of_art	Aesthetics
Aesthetics	Philosophy
Heart Surgery	Cardiac_surgery
Cardiac_surgery	Surgery
Surgery	Medical_specialty
Medical_specialty	Philosophy
Antarctica	Earth
Cleopatra	Ptolemaic_Kingdom
Ptolemaic_Kingdom	Ancient_Greece
Ancient_Greece	Mediterranean_Sea
World War I	World_war
World_war	War
War	State_(polity)
State_(polity)	Politics
Politics	Decision-making
Decision-making	Psychology
The Internet	Internet
Internet	Computer_network
Computer_network	Computer
Drone Warfare	Drone_warfare
Drone_warfare	Aerial_warfare
Aerial_warfare	Military_aircraft
Military_aircraft	Fixed-wing_aircraft
Fixed-wing_aircraft	Aircraft
Aircraft	Vehicle
Climate Change	Climate_change
Snowboarding	Snowboard
Snowboard	Snow
Snow	Ice
Ice	Water
Cognitive Science	Cognitive_science
Cognitive_science	Interdisciplinarity
Interdisciplinarity	Academic_discipline
Virtual Reality	Virtual_reality
Virtual_reality	Simulation
Simulation	Model
Model	Plan_(drawing)
Plan_(drawing)	Technical_drawing
Technical_drawing	Academic_discipline
Nile River	Nile
Nile	River
River	Watercourse
Watercourse	Stream#Related_terminology
Stream#Related_terminology	Body_of_water
Galileo Galilei	Astronomer
Astronomer	Scientist
Scientist	Scientific_method
Bitcoin	Decentralized_application
Decentralized_application	Application_software
Application_software	Computer_program
Computer_program	Sequence
Sequence	Mathematics
Skyscrapers	Skyscraper
Skyscraper	Tower_block
Tower_block	Building
Building	Structure#Load-bearing
Structure#Load-bearing	System
Dark Matter	Dark_matter
Dark_matter	Astronomy
Astronomy	Natural_science
Archimedes	Ancient_Greece
Hip Hop Music	Hip_hop_music
Hip_hop_music	Music_genre
Music_genre	Music
Pandas	Giant_panda
Giant_panda	Bear
Bear	Carnivora
Carnivora	Placentalia
Placentalia	Mammalia
Mammalia	Mammal
Mammal	Vertebrate
Vertebrate	Deuterostoma
Deuterostoma	Deuterostome
Deuterostome	Bilaterian
Bilaterian	Bilateria
Bilateria	Clade
Clade	Phylogenetics
Phylogenetics	Biology
Biology	Science
Great Depression	Stock
Stock	Share_(finance)
Share_(finance)	Finance
Finance	Academic_discipline
Dream Interpretation	Dream_interpretation
Dream_interpretation	Dream
Dream	Image
Image	Two-dimensional
Two-dimensional	Two-dimensional_space
Two-dimensional_space	Mathematical_space
Mathematical_space	Space_(mathematics)
Space_(mathematics)	Mathematics
King Arthur	Legend
Legend	Folklore
Folklore	People
People	Person
Person	Reason
Reason	Logic
Logic	Logical_reasoning
Logical_reasoning	Logical_consequence
Logical_consequence	Concept
Concept	Abstraction
Photosynthesis	Biological_system
Biological_system	Biological_network_inference
Biological_network_inference	Inference
Inference	Reason
Mount Everest	List_of_highest_mountains_on_Earth
List_of_highest_mountains_on_Earth	Mountain
Mountain	Earth%27s_crust
Socrates	Greeks
Greeks	Ethnic_group
Ethnic_group	Ethnicity
Ethnicity	People
J.R.R. Tolkien	J._R._R._Tolkien
J._R._R._Tolkien	Philologist
Philologist	Philology
Philology	Language
Neuroplasticity	Neural_network
Neural_network	Neurons
Neurons	Neuron
Neuron	Nervous_system
Nervous_system	Biology
Dinosaurs	Dinosaur
Dinosaur	Reptile
Reptile	Tetrapod
Tetrapod	Limb_(anatomy)
Limb_(anatomy)	Joint
Joint	Bone
Bone	Stiffness
Stiffness	Deformation_(mechanics)
Deformation_(mechanics)	Deformation_(physics)
Deformation_(physics)	Physics
Acupuncture	Alternative_medicine
Alternative_medicine	Biological_plausibility
Biological_plausibility	Epidemiology
Epidemiology	Risk_factor
Risk_factor	Epidemiology
Titanic	Ocean_liner
Ocean_liner	Passenger_ship
Passenger_ship	Merchant_ship
Merchant_ship	Watercraft
Watercraft	Vehicle
The Louvre	Louvre
Louvre	Art_museum
Art_museum	Art
Nobel Prize	Swedes
Swedes	Ethnic_group
Kafka	Franz_Kafka
Franz_Kafka	History_of_the_Jews_in_the_Czech_lands
History_of_the_Jews_in_the_Czech_lands	Lands_of_the_Bohemian_Crown
Lands_of_the_Bohemian_Crown	Central_Europe
Central_Europe	Europe
Cricket	Bat-and-ball_games
Bat-and-ball_games	Playing_field
Playing_field	Pitch_(sports_field)
Pitch_(sports_field)	Sport
Yoga	Asana
Asana	Meditation_seat
Meditation_seat	Meditative_postures#Cross-legged_postures
Meditative_postures#Cross-legged_postures	Asana
Napoleon Bonaparte	Napoleon
Napoleon	Regnal_name
Regnal_name	Monarch
Monarch	Head_of_state
Head_of_state	Persona
Persona	Personality
Personality	Person
Beethoven	Ludwig_van_Beethoven
Ludwig_van_Beethoven	Classical_music
Classical_music	Art_music
Art_music	High_culture
High_culture	Culture
Culture	Social_behavior
Social_behavior	Behavior
Behavior	Organism
Laser	Light
Light	Electromagnetic_radiation
Electromagnetic_radiation	Physics
Aurora Borealis	Aurora
Aurora	Earth
Alchemy	Natural_philosophy
Natural_philosophy	Philosophy
Pyramids of Egypt	Egyptian_pyramids
Egyptian_pyramids	Egypt
Egypt	List_of_transcontinental_countries
List_of_transcontinental_countries	Country
Country	Earth
Quantum Mechanics	Quantum_mechanics
Quantum_mechanics	Scientific_theory
Nostradamus	Latinisation_of_names
Latinisation_of_names	Latin
Latin	Classical_language
Classical_language	Language
Veganism	Animal_product
Animal_product	Animal
Animal	Multicellular
Multicellular	Multicellular_organism
Multicellular_organism	Organism
Holography	Wavefront
Wavefront	Point_(geometry)
Point_(geometry)	Geometry
Wildebeests	Wildebeest
Wildebeest	Antelope
Antelope	Ruminant
Ruminant	Artiodactyl
Artiodactyl	Placentalia
Telepathy	Vicariousness
Vicariousness	Social_phenomenon
Social_phenomenon	Social_influence
Social_influence	Behavior
Gandhi	Mahatma_Gandhi
Mahatma_Gandhi	Anti-colonial_nationalism
Anti-colonial_nationalism	Nationalism#Anti-colonial
Nationalism#Anti-colonial	Nation
Nation	Social_organization
Social_organization	Sociology
Sociology	Society
Society	Individual
Individual	Entity
Entity	Existence
Linguistics	Language
